Title,Author,Date,Excerpt
"How regional agitations breed instability, heats up polity",BusinessDay,"Jun 23, 2024","…Govt must be deliberate to end hostility – Observers In 1990, when the late Ken Saro-Wiwa founded the Movement for..."
Unending lamentation as Nigeria battles effects of bad governance,Taofeek Oyedokun,"Jun 23, 2024","Nigerians have lamented for 64 years since after the independence in 1960, and there is no indication that the lamentation..."
Nigeria's economic crisis changing social dynamics,Amaka Anagor-Ewuzie,"Jun 23, 2024","…As wedding spends, ceremonies reduce Nigeria’s economic situation has started to take a toll on people’s lifestyles as the escalating..."
Japa: Civil servants drawing salaries after relocating must refund money - Tinubu,Anthony Ailemen,"Jun 23, 2024",President Bola Tinubu on Saturday vowed to ensure that federal government civil servants who relocated abroad and continue to draw...
Meet African female engineers that fostered development through their innovations,Esther Emoekpere,"Jun 22, 2024","In celebration of this year’s International Women in Engineering Day, we honour the extraordinary contributions of African female engineers who..."
"Eggs, others missing on Nigerians meal-table as inflation surges",Charles Ogwo,"Jun 22, 2024","Bukola Balogun found herself rather in an embarrassing and very uncomfortable situation when Tolani, her only child was crying profusely..."
UPDATED: Nigeria’s Naira sees rare calmness in months as CBN reform tames blackmarket,BusinessDay,"Jun 22, 2024","The naira has traded in a narrow range between 1,473 and 1485 per dollar this month, according to FMDQ data..."
From Lagos to China and Back: Chukwuebuka Onyekwere’s path to business success,Chioma Onuh,"Jun 22, 2024","Chukwuebuka Onyekwere, known as Ebuka, is the CEO and Founder of CI Onyekwere Intl Concept, a successful business that imports..."
"Naira stability linked to low dollar demand, rising inflows",Hope Moses-Ashike,"Jun 21, 2024","The Naira has shown stability over the past month, trading between N1,476 and N1,485 against the dollar in the official..."
US lawmakers again push for release of detained Binance executive,Godsgift Onyedinefu,"Jun 21, 2024",…as Gambaryan seeks compensation for prolonged detention in Nigeria US lamakers have continued their push for the release of Tigran...
Nigeria reserve climbs to three month high of $33.5 billion as naira finds stability,Eniola Olatunji,"Jun 21, 2024","Nigeria’s foreign exchange (FX) reserves reached its highest level in three months, at $33.58 billion, as the naira witnessed stability..."
Nigeria's average sugar price rises 103% in Q1 2024,Feyishola Jaiyesimi,"Jun 21, 2024",The average price of sugar in Nigeria rose 103 percent in the first quarter of 2024 on a year-on-year basis....
Nigeria tops as global gas flaring surges to 5-year high despite ban push,Abubakar Ibrahim,"Jun 21, 2024","Nigeria, the largest producer of crude oil in Africa, has come out top as one of the major oil-producing countries..."
Investor apathy delays Nigeria’s oil blocks sale,Oladehinde Oladipo,"Jun 21, 2024",…Regulator says auction attracted huge interest Nigeria’s planned auction of oil blocks has been delayed due to a lack of...
Ubeta’s $550m project to expand Nigeria domestic gas supply,Oladehinde Oladipo,"Jun 21, 2024",Nigeria is set to increase its domestic gas availability with the announcement of a $550 million investment in the Ubeta...
Nigeria’s knotty visa-on-arrival process squeezes investors,Ifeoma Okeke-Korieocha,"Jun 21, 2024","Four years after former President Muhammadu Buhari launched Nigeria’s visa-on-arrival (VoA) policy, the process of obtaining it has remained difficult,..."
"New BPE helmsman faces 60,000 abandoned projects",Anthony Ailemen,"Jun 21, 2024",The director-general of the Bureau of Public Procurement (BPP) will contend with resolving a litany of abandoned projects which are...
"Court nullifies Kano law used to dethrone Emir Bayero, others",Taofeek Oyedokun,"Jun 20, 2024","A Federal High Court in Kano has nullified the Kano State Emirate Council Repeal Law 2024. The law, passed by..."
Nigeria's debt rises by N24.33tn in three months,Temitayo Jaiyeola,"Jun 20, 2024",Nigeria’s total debt stock rose by N24.33 trillion in the first quarter of 2023 to N121.67 trillion from N97.34 trillion...
NUPRC extends deadline for 2024 oil block licencing round by ten days,Faith Esifiho,"Jun 20, 2024",The Nigerian Upstream Regulatory Commission (NUPRC) has expanded the offering and extended the application deadline for the 2024 oil licensing...
Nigeria's economic indices show more fragility in one year under Tinubu,Wasiu Alli,"Jun 20, 2024","Nigeria’s economy has become more fragile in the past 12 months with rising inflation, exchange rates crisis and depleting foreign..."
Tinubu's bilateral talks with Ramaphosa aims at bolstering trade relations,Wasiu Alli,"Jun 20, 2024",President Bola Tinubu has disclosed that his administration will continue to deepen diplomatic and economic ties with South Africa in...
"NNPC, TotalEnergies sign final investment decision for Ubeta field project",Cynthia Egboboh,"Jun 20, 2024",…targets revenue above $7bn over 20 years Nigerian National Petroleum Company Limited (NNPCL) Thursday signed the final investment decision (FID)...
Existing fiscal frameworks in Nigeria’s mining sector not attractive for investment - KPMG,Ruth Tene Natsa,"Jun 20, 2024","The existing fiscal frameworks, including tax policies in Nigeria’s mining sector, are not attractive enough to drive needed investments and..."
Indian steel maker plans Nigeria exit after $30m investment,Josephine Okojie,"Jun 20, 2024","…economic woes, high debt fueling exit …African Industries, Bharti bidding Indian steel maker, Aarti, is exiting the Nigerian manufacturing sector,..."
Foreign investors’ NGX trade up 437% in four months,Iheanyi Nwachukwu,"Jun 20, 2024","Foreign investors’ equities trading rose 437 per cent to N334.01 billion in the first four months of 2024, from N62.18billion..."
"Wike, Fubara’s clash triggers APC call for state of emergency",Ignatius Chukwu,"Jun 20, 2024","… Rival faction counters call as police seal councils Tony Okocha, caretaker committee chairman of the All Progressives Congress (APC),..."
Akpabio-led Senate pointless probes cast doubt on institution’s credibility,Godsgift Onyedinefu,"Jun 20, 2024",The lack of tangible outcomes from a series of high-profile probes launched by the Godswill Akpabio-led 10th Senate in the...
"Nigerian oil production disrupted as Aiteo shuts down 150,000 bpd field",Oladehinde Oladipo,"Jun 19, 2024",Nigeria’s oil output dipped after a major oil field was forced to shut down due to oil leaks. The Nembe...
Guinness Exit: The Singaporean firm betting on Nigeria amid multinationals ‘exodus’,BusinessDay,"Jun 19, 2024","At the sprawling Guinness Nigeria brewery in Lagos, workers in high-visibility jackets churn out bottles of Guinness Foreign Extra, a..."
"NNPC, TotalEnergies near $550m Ubeta deal",Abubakar Ibrahim,"Jun 19, 2024","… project to yield 10,000bpd The Nigerian National Petroleum Company (NNPC) Limited and TotalEnergies are preparing to finalise the final..."
Foreigners raise equities bet as 4-month deal hits N334bn,Iheanyi Nwachukwu,"Jun 19, 2024","Nigeria’s stock investors exchanged equities worth N1.894trillion in four months to April 30, 2024 as against N721.44 billion recorded same..."
Court strikes out fleeing Binance executive's fundamental rights suit,Godsgift Onyedinefu,"Jun 19, 2024",A Federal High Court sitting in Abuja has struck out the fundamental rights suit filed by Nadeem Anjarwalla the Binance...
Big oil buyers’ shift to electric vehicles threatens Nigeria petrodollars,Oladehinde Oladipo,"Jun 19, 2024","Electric vehicle (EV) sales are experiencing booms in some of the biggest buyers of Nigerian crude oil, threatening the country’s..."
"More naira, less value as inflation erodes N7.6tn consumer spending",Temitayo Jaiyeola,"Jun 19, 2024",Nigerians are spending more but getting less value as inflation wiped at least N7.61 trillion off consumers in 2023. According...
"Dangote refinery enters Asian market, ships first low-sulfur oil to Singapore",Abubakar Ibrahim,"Jun 19, 2024","Dangote Refinery is set to send a shipment of low-sulfur straight-run fuel oil (LSSR) from Nigeria to Singapore this week,..."
"Seasonality, high transport costs responsible for tomato price surge, says expert",Feyishola Jaiyesimi,"Jun 19, 2024","Contrary to reports that ‘Tuta Absoluta’ is the major factor responsible for the current surge in tomato prices, Mira Mehta,..."
Police take over all LGA secretariats in Rivers,Ignatius Chukwu,"Jun 19, 2024","Say it’s to forestall further killings, violence All the 23 local council secretariats in Rivers State have been taken over..."
Western multinationals fleeing Nigeria are being replaced by Asian and Turkish firms,BusinessDay,"Jun 18, 2024","As US and Europe-based multinationals exit Nigeria, Asian and local companies are stepping in to fill the void. Last week,..."
Much-expected ‘Ides of June’ begins in Rivers,Ignatius Chukwu,"Jun 18, 2024","…as shooting, invasion overtake most LGAs …Governor’s broadcast signals action Most local council headquarters are right now on fire as..."
PFAs face pressure from retirees as FG fails to pay pensions,Modestus Anaesoronye,"Jun 18, 2024","Nigeria’s pension managers, also known as Pension Fund Administrators (PFAs), are under pressure following the federal government’s failure to pay..."
Investors stifled by 17 property registration hurdles in Lagos,Chuka Uroko,"Jun 18, 2024",Investors say property registration in Lagos is becoming tedious as it requires 17 different steps that are stifling the ease...
"One shot dead, many cars torched as traders, JMDB officials clash in Plateau",Nathaniel Gbaoron,"Jun 18, 2024","Kugiya market in Bukuru, Jos South local government area of Plateau State was on Monday thrown into crisis as a..."
High food prices eat away at Nigerians’ income,Temitayo Jaiyeola,"Jun 18, 2024",…Economists see rate peaking at 35% in months High food prices continued to exert pressure on the wallets of Nigerians...
Boost for Nigeria as G7 backs gas investment for energy security,Abubakar Ibrahim,"Jun 18, 2024",Natural gas investment gets a leeway amid the talk of sustainability as the G7 countries threw their weight behind the...
"Governors target risk reduction, tariff revamp to launch state-owned power firms",Oladehinde Oladipo,"Jun 17, 2024","Nigerian governors are pushing for a reformed electricity sector, with plans for a reformed electricity market with reduced risks and..."
Dangote refinery achieves double Nigeria's 11-yr power output,Oladehinde Oladipo,"Jun 17, 2024","…Generates 1,500MW versus FG’s 760MW Nigeria took eleven years to add just 760 megawatts of power to the national grid,..."
Nigeria’s free trade fruit rots on the vine,Josephine Okojie,"Jun 17, 2024",". Despite FX crisis, AGOA, AfCFTA gains go begging . Critics say country has no ‘export culture’ Nigeria is not..."
Analysts see $2.25bn World Bank loan easing naira pain,Eniola Olatunji,"Jun 17, 2024",The $2.25 billion World Bank loan given to Nigeria to stabilise the economy and scale up support to the poor...
Market awaits Nigeria’s planned Eurobond as naira falls,Eniola Olatunji,"Jun 17, 2024",Investors and market players have more questions than answers regarding Nigeria’s planned Eurobond issuance as authorities remain silent on the...
"Nigeria losing 400,000 barrels of crude oil daily — Nextier",Anthony Ailemen,"Jun 16, 2024",Reports have indicated that Nigeria government’s efforts to curtail crude oil theft in the oil producing region has failed to...
"Katsina killings question military intelligence, tactics against insurgency",Obinna Emelike,"Jun 16, 2024",…Governors suspect hanky-panky behaviour …‘Security challenges rooted in broader governance failures’ …Military must constantly review its strategy The recent massacre...
"Controversy trails 6-year single term proposal for president, governors",Iwok Iniobong,"Jun 16, 2024","…Fantastic idea, 8 years just waste of time – SAN …Must not be ploy to elongate incumbent govt … Falana,..."
Nigeria's democracy @25: Growth tainted by worsening electoral process,Taofeek Oyedokun,"Jun 16, 2024","Nigeria has marked a significant milestone in its journey towards democracy. Over the past 25 years, the country has experienced..."
Households groan as food prices soar in ambush for new minimum wage,Amaka Anagor-Ewuzie,"Jun 16, 2024",…New wage to contend with high food inflation Prices of stable foods in Africa’s most populous nation have been skyrocketing...
Nigeria inflation remains high at 33.95% despite month-on-month slowdown,Eniola Olatunji,"Jun 15, 2024","Nigeria’s annual inflation rate ticked up to 33.95 percent in May. However, month-on-month headline inflation slowed to 2.14 percent in..."
Debunking Economic Myths: New minimum wage doesn’t always translate to poverty reduction,Oluwatobi Ojabello,"Jun 15, 2024","The increase in Nigeria’s minimum wage from N18,000 in 2018 to N30,000 in 2022 coincided with a rise in the..."
Ghana faces three-week power outage as gas supply from Nigeria reduces,Faith Esifiho,"Jun 14, 2024",Ghana’s state-owned electricity company has announced a three-week power interruption following a significant reduction in gas supply from Nigeria. The...
"Court discharges Tigran Gambaryan, Nadeem from tax evasion case against Binance",Godsgift Onyedinefu,"Jun 14, 2024","A Federal High Court of Nigeria has discharged Tigran Gambaryan, Nadeem Anjarwalla of  the Binance Holdings limted from the tax..."
Afreximbank disburses $18bn loans to replicate Dangote Refinery feat,Hope Moses-Ashike,"Jun 14, 2024","The African Export-Import Bank (Afreximbank) 2023 allocated a total of $18 billion to various projects across Africa, with a strategic..."
"NCAA to sanction airline owners, operators for flying into prohibited areas",Ifeoma Okeke-Korieocha,"Jun 14, 2024",The Nigeria Civil Aviation Authority says it would sanction airline owners and operators for flying into restricted areas in the country....
Customs to launch 24-hr operations to boost trade,Amaka Anagor-Ewuzie,"Jun 14, 2024",…FG to unveil Marine and Blue Economy National Policy The Nigeria Customs Service (NCS) is arranging for seaports to operate...
"Nigeria loses $1.4bn to unremitted gas royalties, flare penalties - NEITI",Abubakar Ibrahim,"Jun 14, 2024","Nigeria has lost $1.4 billion to unpaid gas royalties and gas flaring penalties, according to a new report by the..."
World Bank approves $2.25 billion loan to back Tinubu's reforms,Eniola Olatunji,"Jun 13, 2024","Wale Edun, Nigeria’s minister of finance and coordinating minister of the economy announced Thursday night the approval of two major..."
NNPC withdraws suits against ExxonMobil on $1.28bn asset divestment to Seplat,Abubakar Ibrahim,"Jun 13, 2024",The Nigerian National Petroleum Company Limited (NNPC) has filed a motion to discontinue its legal action against several subsidiaries of...
On to the next one: Dangote eyes steel dominance in West Africa,Oladehinde Oladipo,"Jun 13, 2024","… Repays $2.4bn of $5.5bn refinery loan …Dangote produces 1,500mw for self-consumption Africa’s richest man, Aliko Dangote says he will..."
Supreme Court reserves judgement in LG autonomy suit,Godsgift Onyedinefu,"Jun 13, 2024",The Supreme Court has reserved judgment on the Federal Government’s suit seeking full autonomy for Nigeria’s 774 Local Government Areas...
"Increase in passengers, cargo traffic seen boosting airlines’ 2024 profits",Ifeoma Okeke-Korieocha,"Jun 13, 2024",The International Air Transport Association (IATA) announced strengthened profitability projections for airlines in 2024 compared with its June and December...
"Refinery not possible without Afreximbank, IFC, Access Bank – Dangote",Hope Moses-Ashike,"Jun 13, 2024","Aliko Dangote, group chairman and founder of Dangote Group has disclosed that the newly built Dangote refinery located in Lagos...."
Volatile naira renews pension funds’ push for offshore investment,Modestus Aneasoronye,"Jun 13, 2024",Nigeria’s pension fund managers are renewing their push to be allowed to invest more abroad to shield their assets under...
Minimum Wage: I will pay what Nigeria can afford — Tinubu,Anthony Ailemen,"Jun 13, 2024",President Bola Tinubu has declared that he will approve only what Nigeria can afford to pay as minimum wage. The...
Nigeria's crude cargoes face stiff competition from cheaper rivals ,BusinessDay,"Jun 13, 2024","Traditional buyers of Nigerian crude are going for cheaper options, leading to the emergence of France as the country’s leading..."
No way through: Schengen visa rejection hits 4-yr high ,Bunmi Bailey,"Jun 13, 2024",The number of Nigerians rejected for Schengen visa applications rose to the highest in four years as a result of...
We will not accept starvation wages — Labour,Anthony Ailemen,"Jun 12, 2024","The Nigeria Labour Congress (NLC) on Wednesday, warned that it will not accept a minimum wage figure that approximates to..."
Manufacturers' tax to Nigeria hits 3-year low on record losses,Bunmi Bailey,"Jun 12, 2024",…drops 70% in Q1 Tax payments from manufacturers in Nigeria dropped to the lowest in three years in the first...
Presidency says ‘no issues’ as Tinubu falls during Democracy Day celebration,Taofeek Oyedokun,"Jun 12, 2024","President Bola Tinubu missed his step and fell during Democracy Day celebration in Abuja on Wednesday. The presidency, however, said..."
"Oil glut on horizon as non-OPEC supply surges, IEA warns",Oladehinde Oladipo,"Jun 12, 2024","By the end of the decade, the oil market’s spare capacity is projected to reach levels previously seen only during..."
"Full text of President Bola Tinubu's Democracy Day speech, June 12, 2024",BusinessDay,"Jun 12, 2024","TEXT OF PRESIDENT BOLA TINUBU’S NATIONAL BROADCAST ON THE 25TH ANNIVERSARY OF UNBROKEN DEMOCRACY IN NIGERIA, DEMOCRACY DAY 12TH JUNE..."
Nigerian democracy @ 25: Exciting but frustrating journey,Taofeek Oyedokun,"Jun 12, 2024","As Nigeria marks 25 years of uninterrupted democracy since the 1999 transition from military rule, the nation reflects on an..."
Startups tap debt to beat equity funding drought,Temitayo Jaiyeola,"Jun 12, 2024","The funding crisis for African startups has deepened in 2024, with dwindling investor dollars pushing companies to incur debt to..."
Price war on London route takes off as foreign airlines slash fares,Ifeoma Okeke-Korieocha,"Jun 12, 2024","Competition on the popular Lagos-London route has intensified, with foreign airlines slashing fares, some even undercutting Air Peace Airline, the..."
Why Nigeria may lose $27.29bn funding for proposed Escravos Seaport,Amaka Anagor-Ewuzie,"Jun 11, 2024",Nigeria is presently on the verge of losing $27.29 billion in funding for the proposed Escravos Seaport Industrial Complex (ESIC)...
Nigeria’s food import hits 5-year high,Feyishola Jaiyesimi,"Jun 11, 2024",Nigeria’s food import bill hits highest in five years in the first quarter of 2024 despite the country decal ring...
Uncertainty clouds Nigeria’s Eurobond plans,Eniola Olatunji,"Jun 11, 2024","Nigeria’s plans to issue Eurobonds, once seen as a path to bolster government finances, have been clouded by uncertainties, according..."
Firms’ tax payments to FG drops 12% in Q1,Chinwe Michael,"Jun 11, 2024","Tax payments from local and foreign companies in Nigeria dropped by 12 percent in the first quarter of this year,..."
Petrol subsidy return seen denting Nigeria’s credit rating,Bunmi Bailey,"Jun 11, 2024","The return of petrol subsidy in Nigeria could affect the country’s positive credit ratings, according to multiple analysts who spoke..."
FG fails to lift import levy despite rising medical costs,Temitayo Ayetoto-Oladehinde,"Jun 11, 2024",The federal government has failed to lift the crippling levy on medical imports despite its spiral effect on the surging...
Hospitals trim dollar costs to scale inflation hurdle,Temitayo Ayetoto-Oladehinde,"Jun 11, 2024",Hospitals are slashing dollar expenses to stave off financial collapse amid rising inflation in Nigeria. The naira devaluation specifically is...
"Liquidity, not restructuring needed to fix power sector - Edun",Godsgift Onyedinefu,"Jun 11, 2024","Wale Edun, the minister of finance and coordinating Minister for the economy, emphasised on Monday that liquidity, rather than restructuring,..."
"Naira steadies at N1,483/$ at official market",Zainab Aderounmu,"Jun 11, 2024","The naira on Monday steadied at N1,483.62/$ at the Nigerian Autonomous Foreign Exchange Market, according to FMDQ Securities Exchange Limited...."
How illicit wealth finds home in Dubai real estate,Chuka Uroko,"Jun 10, 2024",A fresh report by crack reporters on Dubai real estate has offered fresh insights into how illicit or unexplained wealth...
"Reps propose six-year single term for president, zonal rotation",BusinessDay,"Jun 10, 2024",It has been gathered that about thirty-five members of the House of Representatives have proposed a six-year single term for...
Why labour may resume strike on Tuesday,Taofeek Oyedokun,"Jun 10, 2024","The organised labour has rejected the proposed N62,000 or N100,000 minimum wage for workers, planning to resume strike on Tuesday...."
Stocks defy rate hike to gain N15.25trn in 5 months,Iheanyi Nwachukwu,"Jun 10, 2024","Nigerian stocks gained N15.25 trillion in the first five months of 2024, holding their own against fixed income assets which..."
Nigeria seals $1bn deal on five power plants,Oladehinde Oladipo,"Jun 10, 2024",Nigeria has reached the final stage of its plan to sell five key power plants at a cost of $1.15...
From Access to Sterling: See banks’ new lending rates after CBN hike,Hope Moses-Ashike,"Jun 10, 2024","The Nigerian financial services sector, including commercial and merchant banks, have adjusted their lending rates in response to the rising..."
Trade surplus hits 14-yr high as weak naira lifts exports,Bunmi Bailey,"Jun 10, 2024","Nigeria’s trade surplus, the difference between exports and imports, rose to N6.52 trillion in the first quarter of 2024, according..."
Minimum Wage: Fate of workers now in Tinubu’s hands,Anthony Ailemen,"Jun 10, 2024","With the federal government’s tripartite committee on minimum wage failing to reach a consensus, after months of negotiations, the fate..."
"Dangote shamed Nigerian governments by completing 650,000bpd refinery' - Akpabio",Godsgift Onyedinefu,"Jun 09, 2024","Godswill Akpabio, Nigeria’s Senate President has said Aliko Dangote, the chairman of the Dangote Group shamed successive govenrnents by completing..."
"Bloodbath as gunmen kill 11 in Taraba, Benue border communities",Nathaniel Gbaoron,"Jun 09, 2024",Gunmen have left 11 persons dead and property worth millions of naira destroyed in Taraba and Benue states border communities...
Nigeria’s trade surplus surges to N6.5trn amid rising exports - NBS,Bunmi Bailey,"Jun 09, 2024","Nigeria’s trade surplus rose to N6.52 trillion in the first quarter of 2024, according to the latest foreign trade statistics..."
"Angst, anxiety mount over news of fresh strike",Amaka Anagor-Ewuzie,"Jun 09, 2024",…Nigerians recount experience of recent NLC’s action …Lament worsening cost of living crisis Fear is presently erupting among many Nigerians...
Military takeover of civil policing signals Nigeria’s worsening insecurity,Obinna Emelike,"Jun 09, 2024","For many years now, Nigeria has been contending with assorted security issues which have kept successive governments and administrations on..."
"Governors’ comment on N60,000 minimum wage offensive, insensitive – Nigerians",Anthony Ailemen,"Jun 09, 2024","The Nigerian Governors Forum (NGF) has been criticised over its comment on the proposed N60,000 minimum wage, which has been..."
Tinubu to receive bill on regional government next week,Taofeek Oyedokun,"Jun 08, 2024",A bill proposing a shift to a regional governance structure in Nigeria is set for submission to President Bola Tinubu...
"Tripartite committee recommends N62,000, labour demands N250,000 as minimum wage",Anthony Ailemen,"Jun 07, 2024","…new wage to be submitted to President next week – Aji After months of negotiations, sharp disagreement, has again trailed..."
"N60,000 minimum wage, too high, unsustainable - Governors",Anthony Ailemen,"Jun 07, 2024","…As Labour chides SGF over Minimum Wage comments The Nigeria Governors’ Forum (NGF), on Friday, said the N60,000 new minimum..."
"Nigeria records zero piracy incident in 24 months, cuts War Risk Insurance on incoming cargos",Ignatius Chukwu,"Jun 07, 2024",…As UN awards Nigeria larger continental shelf Nigeria has recorded 24 months of zero piracy in it’s continental shelf. This...
Nigeria finalises bid process to sell five power plants for $1bn,Oladehinde Oladipo,"Jun 07, 2024",…National Council of privatisation to announce winners The Federal Government through the Ministry of Power has concluded the sale of...
Nigeria to meter all unmetered Band A customers by September,Abubakar Ibrahim,"Jun 07, 2024","The Federal Government has targeted full-scale metering of unmetered Band A electricity customers before the end of September. Adebayo Adelabu,..."
‘Japa’: FG pleads with nursing graduates to think more of Nigeria,BusinessDay,"Jun 07, 2024","The Director of Nursing, Federal Ministry of Health and Social Welfare, Dame Francisca Okafor, on Thursday urged Nursing graduates to..."
Nigeria hopeful of FX inflows after utilising $4.1bn in 3 months,Hope Moses-Ashike,"Jun 07, 2024","Nigeria remains hopeful of getting more foreign exchange (FX) inflows into the country, after FX users consumed more dollars in..."
Rising youth heart attack in Nigeria spurs cardiac care revamp,Temitayo Ayetoto-Oladehinde,"Jun 07, 2024",A troubling increase in heart attacks among young people has prompted initiatives to enhance cardiac care capabilities in Nigerian hospitals....
Modular refineries set sights on US crude to fill supply gap,Oladehinde Oladipo,"Jun 07, 2024",Modular refineries in Nigeria are seeking a consistent supply of crude oil from the United States to address a supply...
Businesses in hot water as Red Sea attacks raise cargo costs,Amaka Anagor-Ewuzie,"Jun 07, 2024",Shipping lines are imposing new surcharges on goods bound for Nigeria to offset the costs of diverting ships to longer...
Costly promotion mutes aspiring afrobeats artistes,Anthony Udugba,"Jun 07, 2024","In Nigeria, the dreams of many up-and-coming Afrobeats artists to make it big in the music industry are being dampened..."
"Minimum wage negotiations inconclusive, says Ajaero as presidency debunks N105,000 proposal rumour",Anthony Ailemen,"Jun 07, 2024",Few days to the expiration of the five-day ultimatum given by the organised labour for the federal government to come...
Data exposes FG’s insincere denial of ‘secret’ petrol subsidy,Oladehinde Oladipo,"Jun 06, 2024","Data seen by BusinessDay has countered the new subsidy denial position of the federal government, asserting that Nigeria now pays..."
"Minimum wage: Edun submits report to Tinubu, assures workers of ""good figure""",Anthony Ailemen,"Jun 06, 2024","Barring any last-minute hitches, labour and the federal government will any moment, unveil a new minimum wage, following Thursday’s presentation..."
Nigerians consume $4.1bn FX in 3 months,Hope Moses-Ashike,"Jun 06, 2024","Nigerians consumed more foreign exchange (FX) in the three months through December 2023 compared to the preceding quarter, according to..."
Investors pullout looms for 20 modular refineries over crude supply,Oladehinde Oladipo,"Jun 06, 2024",Funding for the construction of 20 modular refineries in Nigeria is at risk as foreign investors withhold their money due...
Manufacturers turn lemons into lemonade with naira devaluation ,Bunmi Bailey,"Jun 06, 2024","Some of Nigeria’s largest manufacturers are reporting a surge in exports to other African countries, spurred by the naira’s devaluation...."
Nigeria’s 30 biggest firms’ interest expense doubles on CBN rate hike ,Eniola Olatunji,"Jun 06, 2024",The top 30 firms on Nigeria’s stock exchange recorded a combined 126 per cent surge in interest expense as the...
FG mulls fresh N7.24tn loan to stabilise economy,Temitayo Jaiyeola,"Jun 06, 2024",Nigeria’s government may borrow an additional N7.24 trillion in 2024 to fund an intervention plan aimed at reviving its economy....
"Kaduna assembly committee wants El-Rufai prosecuted for abuse of office, money laundering",Taofeek Oyedokun,"Jun 05, 2024","An ad hoc committee set up by the Kaduna State House of Assembly has concluded its investigation of finances, loans,..."
"Bill to ban open grazing, create ranches scales second reading after heated debate at Senate",Godsgift Onyedinefu,"Jun 05, 2024",A Bill for an Act seeking to ban open grazing and create ranches for herders scaled second reading at the...
"After countless denials, FG admits to N5.4trn oil subsidy in 2024",Oladehinde Oladipo,"Jun 05, 2024","In a surprising turn of events, the federal government has finally admitted Africa’s biggest oil-producing country will be spending up..."
Oil investors wrestle 20 agencies in dollar-starved Nigeria,Oladehinde Oladipo,"Jun 05, 2024","Nigeria’s vast oil reserves, estimated at 37 billion barrels, the largest in sub-Saharan Africa, should be a magnet for petrodollar..."
"Minimum Wage: Tinubu meets FG team as committee shelves talks, embarks on consultations",Anthony Ailemen,"Jun 05, 2024","The tripartite Committee on Tuesday, shelved further discussions on the new minimum wage to enable all the parties carry out..."
Oyedele-led committee proposes five executive orders to fast-track reforms,Onyinye Nwachukwu,"Jun 05, 2024",The Taiwo Oyedele-led Presidential Committee on Fiscal Policy and Tax Reforms has proposed five executive orders to accelerate fiscal reforms...
"Labour suspends strike, meets affiliate Unions in Abuja",Anthony Ailemen,"Jun 04, 2024","The Nigeria Labour Congress (NLC), has suspended the strike it started Monday. This followed the meeting with some of its..."
CBN settles N400bn First Bank loan as Heritage goes down,Lolade Akinmurele,"Jun 04, 2024",The Central Bank of Nigeria (CBN) has settled the over N400 billion owed to First Bank by the now-defunct Heritage...
"Nigeria trails Benin, Cameroon with below-average score in open budget — Survey",Hope Moses-Ashike,"Jun 04, 2024","Nigeria scored lower than the global average of 45 (out of 100) in the open budget index, ranking below Cameroon,..."
International flights undisrupted as unions again shut down local airports,Ifeoma Okeke-Korieocha,"Jun 04, 2024",International flights operations on Tuesday morning continued as local airports remain shut down following the indefinite strike action declared by...
"Tinubu committed to higher minimum wage than N60,000 - SGF",Anthony Ailemen,"Jun 04, 2024","..As FG, Labour agree to continue negotiations The federal government and the organised labour on Monday night agreed to continue..."
"Labour grounds grid, ports, banks in blow to economy ",BusinessDay,"Jun 04, 2024",Nigeria’s fragile economy took a hit on Monday after a nationwide strike by labour unions led to the shutdown of...
Heritage Bank customers worry about deposits as NDIC steps in,Hope Moses-Ashike,"Jun 04, 2024","…over 2,000 bankers enter job market as lender goes down Customers of the failed Heritage Bank Plc on Monday thronged..."
Oil production at risk as labour threatens shutdown,Anthony Ailemen,"Jun 04, 2024",Nigeria’s crude production is at risk as the Petroleum and Natural Gas Senior Staff Association of Nigeria (PENGASSAN) plans to...
"NMA opts out of nationwide strike, says doctors will be on duty",Godsgift Onyedinefu,"Jun 03, 2024",The NMA has announced that it will not participate in the nationwide strike by the labour unions which began on Monday....
FG calls emergency meeting with labour leaders on Tuesday,Tolulope Popoola,"Jun 03, 2024","Federal Government, through the National Salaries, Wages, and Income Commission, has extended an invitation to the leaders of the NLC and TUC...."
NDIC commences liquidation of Heritage Bank,Hope Moses-Ashike,"Jun 03, 2024","The Nigeria Deposit Insurance Corporation (NDIC) on Monday said it commenced the liquidation of Heritage Bank Plc, following the revocation..."
"CBN lifts restriction on Moniepoint, Opay, others",Temitayo Jaiyeola,"Jun 03, 2024","The Central Bank of Nigeria has lifted its ban on onboarding new customers imposed on five prominent fintech startups: Paga,..."
Nigeria’s business activity rises to 4-month high as inflation eases,Bunmi Bailey,"Jun 03, 2024",Business activity in Nigeria rose to the highest in four months in May 2024 as inflationary pressures eased to a...
"How a N44bn fraud is causing ripples at First Bank, help sought from Police",BusinessDay,"Jun 03, 2024","Nigeria’s oldest financial institution, First Bank recently named a risk guru as Chief Executive Officer and now it is becoming..."
CBN sells most dollars in one month as liquidity fades,Lolade Akinmurele,"Jun 03, 2024",…$575m sold in May exceeds March & April combined …Oil companies to resume dollar sales to banks The Central Bank...
"Nigeria suffers another power grid collapse, as labour begins strike over minimum wage",BusinessDay,"Jun 03, 2024",Nigeria has been thrown into darkness again after the nation power grid collapsed early Monday. Officials of the sector said...
